421 Broome Street,Soho/Nolita,"$65,000,000",Condo,4,6.5,12,"8,000","One-of-a-kind, SoHo loft transformed into extraordinary living space encompassing over 8,000 square feet of interior and 3,700 square feet of private exteriors. This very private, bespoke residence at 421 Brooome/Crosby, a small boutique landmarked cast-iron condominium dating back to 1873, provides the owner the comfort of full-time doorman services as well as title to an exclusive rear yard with two secure parking spaces. Over 700 square feet of fully built-out storage rooms are also included with the sale.
This AML Architecture/Roman and Williams designed home, four years in the making, has been constructed from the ground up with entirely custom fabricated steel doors, windows and skylights. Only the finest natural materials have been used to accent the property including: Meyer of Munich, Dinesen, Dolomite and Ann Sack, as well as appliances by LaCanche, Wolf, SubZero, Miele and Lynx.
With direct elevator access to each of the living areas leading to entries appointed with profiled steel gates, this Penthouse property begins on the 5th Floor, opening into a 31 X 46-foot great room. Marked by six oversized arched windows, this room overlooks historic Soho below 15 foot ceilings and two skylights, anchored by opposing wood-burning fireplaces encased in honed petit granite.
Outfitted to the liking of a professional chef, the spectacular 20-foot brick barrel-vaulted ceiling kitchen includes and 86-inch range, black granite countertop/backsplash and wood-burning fireplace, as well as two proper butler's pantries and wine rooms. A second master suite with a private terrace, guest bedroom with bath, wood-paneled home office and laundry room complete the floor.
Encased in a LaForge bronze stair railing, a Chesney cantilivered black marble staircase leads to a master level with his and hers bathrooms. Marked by over 20 custom closets, dumbwaiter, coffee bar, wood-burning fireplace and dual private terraces, this master suite is unlike any offering on the marketplace today.
One flight up, the top level opens to entertaining terraces, paved in Cenia Gray granite, are designed for outdoor/indoor living with large heated, hotel-style, steel and glass canopy, wood-burning fireplace, and TV alcove- all accessible by six sets of French doors. A screening room with wood-burning fireplace, fitness room, second full kitchen and laundry, and dining room have been intelligently placed to serve this floor's interior. Three additional landscaped terraces, equipped with custom gas lanterns, offer a heated spa, fountained garden, and open-air dining. An adjoining staff room with full bath completes this incomparable residence.
This is a co-exclusive with CORE."
53 West 53rd Street,Midtown West,"$63,815,000",Condo,4,4.5,7,"7,973","Enjoy dramatic 360-degree views of Central Park, Hudson River, East River, the downtown skyline and beyond from this one-of-a-kind full floor Duplex Penthouse Residence located in the new Jean Nouvel-designed tower soaring above The Museum of Modern Art.
Situated on the 76th and 77th floors, and at nearly 800’ in the sky, this 7,973 SF (740.7 SM) 4-bedroom Penthouse is accessed by direct elevator entry into a gracious foyer leading to a massively scaled living room with soaring double height ceilings, gracious proportions, and the rich attention to detail of a bespoke privately commissioned home. Nouvel’s innovative exposed structural system, known as the diagrid, is expressed like a graceful, abstract piece of sculpture creating a one-of-a-kind residence unlike any other in the world.
Masterfully crafted in collaboration with world-renowned interior designer Thierry Despont, this home offers residential design of unparalleled luxury. Features include a gas burning fireplace, private elevator, Central Park-facing corner dining room, windowed eat-in kitchen with custom cabinetry by Molteni; statuary marble countertops and backlit backsplash; and complete suite of appliances by Miele and Sub-Zero. The private, floor through master bedroom suite encompasses the North and South corners of the second floor and includes a voluminous, dual walk-in closet and spacious master bath clad in Noir St. Laurent marble, golden travertine and Verona limestone, with a custom carved stone vanity with free-standing medicine cabinet above. The master bath also features radiant heated floors and Dornbracht fittings and accessories.
Situated high above the Museum of Modern Art, a short walk to Fifth Avenue and mere blocks from Central Park and located in the heart of all that is celebrated about New York City, 53W53 is Nouvel's bold addition to the iconic Manhattan skyline, and the pièce de resistance of luxury living. 53W53 is a collection of 145 unique residences offering residential design of unparalleled luxury, five-star hotel-like services and amenities, and a curated list of MoMA member benefits. Occupancy early 2019."
100 BARCLAY ST,Tribeca,"$59,000,000",Condo,7,9.5,11,"14,539","THE PENTHOUSE at One Hundred Barclay offers an exclusive opportunity to own the top two floors of the world’s first Art Deco skyscraper, one of New York’s largest private residences. This palace in the sky, which spreads over 14,500 square feet, is ideal for a discerning buyer who wants the perfect luxury canvas to design their dream home.
The windowed entrance gallery leads to one of the largest living rooms in New York City, measuring almost 100-feet long by over 30-feet wide, housing one of the longest continuous art walls in any private home. The soaring 21-foot ceilings and the dramatic arched windows frame the iconic views of the New York City skyline, Statue of Liberty, and Hudson River.
The professional kitchen, a sprawling 1,000+ square foot entertainment space, features a butler’s pantry, dining area, pass-through wine room (with capacity for 630 bottles), and after-dinner lounge with wet bar and dual-sided gas fireplace . There are Calacatta Gold marble countertops and backsplash, custom oak cabinetry, Franke sinks, and a top-of-the-line Gaggenau appliance package with dual refrigerators and freezers, microwave, dual 30” convection ovens, 60” cooking range with eight burners and griddle, 36” induction cooktop, and accessory cooking suite: steamer, fryer, and teppanyaki, plus dual dishwashers.
In addition to the living room and kitchen, The Penthouse includes over 6,000 square feet of completely customizable space, which can accommodate layouts ranging from one to seven bedrooms. As one of the premier residences in the city, this superlative space offers nearly limitless possibilities to create a perfectly tailored residence. The entire home features full electrical infrastructure to support custom lighting, chandelier-style fixtures, home automation, and an internal elevator.
One Hundred Barclay offers residents over 40,000 square feet of amenities, the most robust package in Tribeca, complete with two swimming pools, a playroom, fitness center with steam room and sauna, media lounge, music practice rooms, Landmarked Art Deco lobby with lounge and bar, wine storage and tasting room, bicycle and private storage, along with four sprawling terraces for entertaining."
53 West 53rd Street,Midtown West,"$46,395,000",Condo,4,4.5,7.5,"6,786","Enjoy panoramic Central Park, Hudson River, East River and downtown skyline views through floor-to-ceiling windows in this full-floor residence located in the new Jean Nouvel-designed tower rising above The Museum of Modern Art. Nouvel’s innovative exposed structural system, known as the diagrid, is expressed like a graceful, abstract piece of sculpture creating a one-of-a-kind residence unlike any other in the world. Within this 6,786 SF (630.5 SM) 4-bedroom home accessed by direct elevator entry, one finds a gracious entry hall, massively scaled living room, a palatial master suite, gym or additional dressing room, three generous secondary bedrooms, separate laundry room and service entrance. With interiors by Thierry Despont, Residence 63 also boasts an eat-in, park-facing kitchen with custom cabinetry by Molteni; statuary marble countertops and backlit backsplash; and complete suite of appliances by Miele and Sub-Zero. The corner master bedroom suite includes an extremely spacious master bath that features heated Verona limestone slab floors and baseboard, Noir St. Laurent marble and Peruvian golden travertine feature walls. A short walk to Fifth Avenue and mere blocks from Central Park, 53W53 is a collection of 145 unique residences with super-luxury, hotel-like services and amenities. Occupancy early 2019."
20 East End Avenue,Upper East Side,"$39,500,000",Condo,5,5.5,11,"6,050","The stately 20 East End, designed by the world-renowned Robert A.M. Stern, seamlessly blends old world elegance with top of the line modern amenities at one of Manhattan’s most prestigious addresses. 20 East End Avenue evokes a time when the Astors, Vanderbilts and Rockefellers dominated Manhattan and defined a level of luxury unparalled until now.
The pinnacle of 20 East End is Penthouse A, a grand five bedroom, five and a half bathroom full floor simplex residence. With direct dual elevator access opening onto an elegant gallery, a private library, family room, formal dining room and living room, this awe-inspiring home is ideal for entertaining and impressing with over 10,000 square feet of combined indoor and outdoor space. The exclusive rooftop terrace from a bygone era is accessible through an elevator or private stair and includes a wood burning fireplace made of Indiana limestone. Offering unparalleled 360 degree views of Manhattan and the East River, the terrace was designed to support a swimming pool and outdoor kitchen. Additional details include custom lighting and a solid Indiana limestone balustrade and details.
Penthouse A showcases timeless elegance in its exquisite floor plan. Spanning approximately 6,050 interior square feet with 4,542 exterior square feet, this palatial residence features up to 12-foot ceiling heights, three interior wood burning fireplaces, one outdoor wood burning fireplace, expansive sound attenuated casement windows, custom moldings and trim, and solid Appalachian oak herringbone flooring of the finest of quality. The corner living room enjoys a stately wood burning fireplace with long, unobstructed panoramic views to both the north and east with immediate access to the south facing adjacent terrace.
The grand formal dining room with a wood burning fireplace can easily accommodate a 16 person dining table and is supported by a complete butler’s pantry. There are sparkling views of the city skyline to the south and west and access to two separate terraces.
The open chef's kitchen with center island boasts custom shaker inspired millwork cabinetry designed by Robert A.M. Stern, spectacular Calacatta Monarch countertops and backsplash, Waterworks fittings made in France and the complete Gaggenau 400 Series appliance collection including two dishwashers, two warming drawers, two ovens (one convection oven and one combination convection speed oven with microwave), a full height wine refrigerator with dual temperature zones, a Japanese Teppanyaki flat top grill, a five burner cooktop, vented hood and a fully automatic coffee machine built into the kitchen cabinetry.
This marvelous property also boasts built-in audio visual, window treatments and lighting controls from wall mounted Control4 panels as well as thermostats in every room, and a programmable and WiFi enabled radiant floor heating system in the master and secondary bathrooms.
The stunning master bedroom suite comes equipped with a morning kitchen for convenient access to that first cup of coffee in the morning or a glass of champagne in the evening. The master bedroom features a wood burning fireplace and south and east views, connected to an adjoining dressing room. The master bathroom, flanked by two large walk in closets, is clad in white Caldia Classico marble from Tuscany and extends East through a pair of double doors to a romantic terrace with river views and a hand carved balustrade made of solid Indiana limestone.
This spectacular residence offers a rare opportunity to live in the finest full floor penthouse on the Upper East Side.
**Immediate Closings**"
11 East 82nd Street,Upper East Side,"$39,000,000",Townhouse,9,8.5,na,"12,729","This exquisite 25 foot wide mansion, prominently located on one of the most prestigious tree-lined blocks on the Upper East Side, is just off 5th Avenue and the Metropolitan Museum of Art.
Walk through the stately front doors of 11 East 82nd Street, and instantly step into the grandeur of an iconic mansion. The monumental structure stands in singular magnificence and represents a rare treasure of Manhattan’s golden age. For those desiring generously proportioned and meticulously designed entertaining and living spaces, an opportunity awaits at 11 East 82nd Street.

Commissioned in 1895 by Daniel Hennessy, the home was designed by renowned architect Henry Andersen, as a private residence for Ellen Prentice Kellogg. The limestone, yellow brick and terra-cotta façade is a beautiful example of Neo-Classical design. Complementing the impressive exterior is an impeccable interior with perfectly appointed details and a sweeping balustrade.

Under the orchestration of world-renowned architect Stephen Wang, the dwelling recently underwent a meticulous renovation. It features original period details from the turn of the century, seamlessly
coexisting with modern conveniences including an elevator, central air conditioning, a sprinkler system, modern
double pane windows with motorized window treatments, a Creston smart home audio visual and WIFI system, a wine cellar, a modern kitchen, a gym and a security system. This sun filled 12,729 square foot residence boasts grand scaled rooms perfect for entertaining, with soaring ceilings, five working fireplaces and outdoor terraces on four floors."
7 SUTTON SQUARE,Sutton Area,"$35,900,000",Townhouse,5,10.5,17,na,"Pass through the stately front doors and into the unparalleled grandeur that is 7 Sutton Square. This extraordinary residence stands in singular magnificence and represents a rare treasure in Manhattan - a 33 foot wide home in a private gated community, with off-street private parking spaces and keys to a verdant private garden overlooking East River vistas. For those desiring the most palatial of mansions, an opportunity awaits.
The mansion offers the ultimate in discretion and luxurious living for the well-heeled mogul. The highest caliber of finishes and appointments await behind the refined, Georgian-style façade. The mansion presents all the luxuries of modern, full-service living, in the most gracious of traditional style.
In 2008, the residence underwent a meticulous full renovation. Elegant period details were restored and replicated by master artisans, while modern day conveniences were seamlessly installed. The classic residential design features double-height entry foyer, filigreed spiraling staircase culminating in an exquisite glass rotunda, parquet de Versailles wood floors and oak paneling defining the timeless collaboration of past and present.
7 Sutton Square is a grand and iconic residence for the new gilded age.
Additional features of this building include: roof garden &small greenhouse."
15 Hudson Yards,Chelsea/Hudson Yards,"$32,000,000",Condo,4,6.5,7,"5,161","DOUBLE HEIGHT PENTHOUSE ON THE 88TH FLOOR OF FIFTEEN HUDSON YARDS!
Perched nearly 900 feet in the sky, this unrivaled duplex penthouse wraps the southwest corner with a stunning arc of floor-to-ceiling glass spanning 126 linear feet (38m) and offering an uninterrupted 270-degree panoramic views of the Hudson River, New York Harbor, Statue of Liberty and the Manhattan skyline from the Freedom Tower to Madison Square Park.
Over 5,000 square feet (478 sq. m.), this trophy penthouse has a dramatic Great Room featuring double-height ceilings soaring 26 feet high (7.9m), a fireplace, dining room and separate library/office. A custom Bulthaup kitchen with Miele appliances opens onto a large family room, with the ability to create a staff bedroom if desired.
Ascending upon a gorgeous glass staircase with handsome oak treads, a sitting/media room with wet bar overlooks the Great Room and leads to three bedroom suites including a spacious master suite with beautiful sunset and river views, double dressing rooms and dual master baths (one of which has south facing windows). A private elevator, two utility rooms, service entrance, and total of 6 1/2 baths make this a unique opportunity to live at the top of Hudson Yards.
Designed by Diller Scofidio + Renfro in collaboration with Rockwell Group, Fifteen Hudson Yards offers residents over 40,000 square feet of amenities on three floors. Floor 50 has been devoted to a full range of fitness and wellness opportunities, including an aquatics center with a 75-foot long three-lane swimming pool, a 3,500 square foot fitness center designed by The Wright Fit, private yoga studio, stretching and group fitness classes, private spa suites with treatment rooms, and a beauty bar for hair and makeup services. Floor 51 features two corner private dining suites including wine storage and tasting rooms, lounge with breathtaking Hudson River views, club room with billiards tables, card tables and large-screen TV, a screening room, business center, golf club lounge, and an atelier with communal working table and lounge seating. A 24-hour attended lobby, doorman and concierge provide residents with an unparalleled suite of services.
Best of all the Hudson Yards neighborhood is at your door! Fifteen Hudson Yards occupies a prime position on the Public Square and Gardens at the center of Hudson Yards, directly on the High Line and adjacent to The Shed, the forthcoming center for artistic invention. Here, residents will take advantage of the unique lifestyle that Hudson Yards will offer - integrating the finest shopping, dining, arts, culture, fitness and innovation with the highest standards of residential design, services and construction. All just moments from West Chelsea's unique offering of art galleries, museums, restaurants, schools and the spectacular Hudson River Park. We invite you to take a virtual reality tour of this residence here: Explore15HY.com"
30 PARK PLACE,Tribeca,"$30,000,000",Condo,3,4.5,7,"4,538","For immediate occupancy: Enjoy the highest outdoor space in the city from the four corner terraces that surround this full-floor penthouse. Masterfully designed by Robert A.M. Stern, this full-floor penthouse is a gracious, 4,500+ square foot three bedroom, 4.5 bathroom home that occupies the enviable position at the top of 30 Park Place. This one-of-a-kind property is located on the 82nd floor in the building’s crown and boasts dramatic 360-degree views of the Manhattan skyline, Hudson River, East River, New York Harbor and beyond. A formal reception hall opens into a Living Room with expansive, unobstructed views of Midtown Manhattan, and both the Hudson and East Rivers. Terraces on either side measuring over 19’ wide offer continuous views North, East and West from nearly 900’ in the sky. A separate formal dining room enjoys access onto a double-exposure terrace and flows seamlessly into a windowed eat-in chef’s kitchen and adjoining family room. A sun-filled library with a gas-burning St. Tropez French limestone fireplace, wet bar and adjoining terrace completes the grand entertaining spaces of this full-floor penthouse. The southern wing of the penthouse features an over 27’ wide master bedroom suite framed by double terraces with south, east and western views; also included within the spacious suite are two walk-in closets, a dressing room, and dual master bathrooms. There are two additional bedrooms each with en-suite bathrooms.
Other notable details within this residence include a butler’s pantry, fully-equipped laundry room, separate service hall with dedicated service entrance, ceiling heights that soar up to 12’ and above, and advanced pre-wiring for in-home technology with dedicated media closet. Custom interiors by Robert A.M. Stern, including: white oak Bilotta custom-designed kitchen cabinetry featuring Gaggenau appliances and polished marble countertops; master bathrooms with marble slab floors and countertops, Kallista fittings & accessories and radiant heat flooring; ceiling hung four-pipe fan coil heating and A/C system with dedicated zones; and solid white oak floors in natural matte finish with herringbone pattern in select formal rooms.
The complete terms are in an offering plan available from the Sponsor (File No: CD 13-0258)
Additional features of this property include: 4 Corner Terraces, Butler's Pantry, Dual Master Bathrooms, and Separate Service Hall and Entrance."
10 East 76th Street,Upper East Side,"$29,950,000",Townhouse,7,9.5,25,na,"Extreme light… exceptional ceiling height... phenomenal rooftop views!
With approximately 12,380 interior square feet, 2,500 exterior square feet, and 13 foot majestic ceilings, this unique limestone mansion is offered for sale for $29.95 million (or for a Digital Currency equivalent to 1.5 times USD offered price). Along with USD, the Seller will accept payment in Bitcoin, Ethereum, or Ripple.
Nothing speaks more truth of a New York City mansion than a proper entrance which emotes a sense of heft and a welcoming arrival; soaring ceilings creating voluminous rooms, and as is with everything in real estate - location, location, location.
Fabulously situated on a premier block of the Upper East Side’s Gold Coast between Fifth and Madison Avenues, this palatial 22-foot wide townhome is the tallest townhome on the block, towering above all the others around it. Built circa 1904 by architects Schwartz and Gross (renown for building The Mark and The Surrey hotels), 10 East 76th Street offers a sublime sanctuary zoned for residential or, residential with professional space on the Garden Floor. This majestic beaux-art home is fully built to the building lot and features an expansive roof terrace structurally designed to sustain a reflecting pool, a side terrace on the Garden Floor, soaring ceilings and fantastic light.
A grand, solid-bronze gated entrance leads into an elegant entry vestibule which opens into a stately marbled reception gallery with an impressive wood-burning fireplace and original mosaic tiled floors that have an added European patina. A white marble staircase graciously curves its way to the upper floors. Beyond the reception gallery, through a private door, leads to what was formerly three professional offices.
For 24 years, this majestic limestone mansion served as a family compound for its European owner, affording seven private living areas including the Fifth and Sixth Floors combined as a separate penthouse. This allowed for extended family and close friends to live together under the same roof and yet, living separately with a certain amount of privacy.
The home’s grand scale and impressive potential to be reconfigured into a full, single family mansion is apparent on each floor’s 10 to 13 foot ceilings and extra-wide landing areas. There are twelve working wood-burning fireplaces including two outdoor fireplaces located on the Sixth Floor and Roof Terraces. An outdoor lift from the Sixth Floor Terrace ascends to the expansive Roof Terrace, providing a towering, 360 degree view of Manhattan’s skyline.
The expansive Lower Level is built-out the full length and width of the building lot and boasts unusually high ceilings, a laundry facility, staff room quarters, storage, mechanical storage and a vast vault under the sidewalk that partially extends underneath East 76th Street, supplemented by an outdoor lift to street-level.
A rare and extraordinary opportunity to own an impressive lime-stone façade, beaux-art townhouse in a prime Gold Coast location with the structural bones to create an exquisite single family mansion of distinguished taste. Co-Exclusive."
