421 Broome Street,Soho/Nolita,"$65,000,000 ",Condo,4,6.5,12,"8,000","One-of-a-kind, SoHo loft transformed into extraordinary living space encompassing over 8,000 square feet of interior and 3,700 square feet of private exteriors. This very private, bespoke residence at 421 Brooome/Crosby, a small boutique landmarked cast-iron condominium dating back to 1873, provides the owner the comfort of full-time doorman services as well as title to an exclusive rear yard with two secure parking spaces. Over 700 square feet of fully built-out storage rooms are also included with the sale.
This AML Architecture/Roman and Williams designed home, four years in the making, has been constructed from the ground up with entirely custom fabricated steel doors, windows and skylights. Only the finest natural materials have been used to accent the property including: Meyer of Munich, Dinesen, Dolomite and Ann Sack, as well as appliances by LaCanche, Wolf, SubZero, Miele and Lynx.
With direct elevator access to each of the living areas leading to entries appointed with profiled steel gates, this Penthouse property begins on the 5th Floor, opening into a 31 X 46-foot great room. Marked by six oversized arched windows, this room overlooks historic Soho below 15 foot ceilings and two skylights, anchored by opposing wood-burning fireplaces encased in honed petit granite.
Outfitted to the liking of a professional chef, the spectacular 20-foot brick barrel-vaulted ceiling kitchen includes and 86-inch range, black granite countertop/backsplash and wood-burning fireplace, as well as two proper butler's pantries and wine rooms. A second master suite with a private terrace, guest bedroom with bath, wood-paneled home office and laundry room complete the floor.
Encased in a LaForge bronze stair railing, a Chesney cantilivered black marble staircase leads to a master level with his and hers bathrooms. Marked by over 20 custom closets, dumbwaiter, coffee bar, wood-burning fireplace and dual private terraces, this master suite is unlike any offering on the marketplace today.
One flight up, the top level opens to entertaining terraces, paved in Cenia Gray granite, are designed for outdoor/indoor living with large heated, hotel-style, steel and glass canopy, wood-burning fireplace, and TV alcove- all accessible by six sets of French doors. A screening room with wood-burning fireplace, fitness room, second full kitchen and laundry, and dining room have been intelligently placed to serve this floor's interior. Three additional landscaped terraces, equipped with custom gas lanterns, offer a heated spa, fountained garden, and open-air dining. An adjoining staff room with full bath completes this incomparable residence.
This is a co-exclusive with CORE."
53 West 53rd Street,Midtown West,"$63,815,000 ",Condo,4,4.5,7,"7,973","Enjoy dramatic 360-degree views of Central Park, Hudson River, East River, the downtown skyline and beyond from this one-of-a-kind full floor Duplex Penthouse Residence located in the new Jean Nouvel-designed tower soaring above The Museum of Modern Art.
Situated on the 76th and 77th floors, and at nearly 800’ in the sky, this 7,973 SF (740.7 SM) 4-bedroom Penthouse is accessed by direct elevator entry into a gracious foyer leading to a massively scaled living room with soaring double height ceilings, gracious proportions, and the rich attention to detail of a bespoke privately commissioned home. Nouvel’s innovative exposed structural system, known as the diagrid, is expressed like a graceful, abstract piece of sculpture creating a one-of-a-kind residence unlike any other in the world.
Masterfully crafted in collaboration with world-renowned interior designer Thierry Despont, this home offers residential design of unparalleled luxury. Features include a gas burning fireplace, private elevator, Central Park-facing corner dining room, windowed eat-in kitchen with custom cabinetry by Molteni; statuary marble countertops and backlit backsplash; and complete suite of appliances by Miele and Sub-Zero. The private, floor through master bedroom suite encompasses the North and South corners of the second floor and includes a voluminous, dual walk-in closet and spacious master bath clad in Noir St. Laurent marble, golden travertine and Verona limestone, with a custom carved stone vanity with free-standing medicine cabinet above. The master bath also features radiant heated floors and Dornbracht fittings and accessories.
Situated high above the Museum of Modern Art, a short walk to Fifth Avenue and mere blocks from Central Park and located in the heart of all that is celebrated about New York City, 53W53 is Nouvel's bold addition to the iconic Manhattan skyline, and the pièce de resistance of luxury living. 53W53 is a collection of 145 unique residences offering residential design of unparalleled luxury, five-star hotel-like services and amenities, and a curated list of MoMA member benefits. Occupancy early 2019."
100 BARCLAY ST,Tribeca,"$59,000,000 ",Condo,7,9.5,11,"14,539","THE PENTHOUSE at One Hundred Barclay offers an exclusive opportunity to own the top two floors of the world’s first Art Deco skyscraper, one of New York’s largest private residences. This palace in the sky, which spreads over 14,500 square feet, is ideal for a discerning buyer who wants the perfect luxury canvas to design their dream home.
The windowed entrance gallery leads to one of the largest living rooms in New York City, measuring almost 100-feet long by over 30-feet wide, housing one of the longest continuous art walls in any private home. The soaring 21-foot ceilings and the dramatic arched windows frame the iconic views of the New York City skyline, Statue of Liberty, and Hudson River.
The professional kitchen, a sprawling 1,000+ square foot entertainment space, features a butler’s pantry, dining area, pass-through wine room (with capacity for 630 bottles), and after-dinner lounge with wet bar and dual-sided gas fireplace . There are Calacatta Gold marble countertops and backsplash, custom oak cabinetry, Franke sinks, and a top-of-the-line Gaggenau appliance package with dual refrigerators and freezers, microwave, dual 30” convection ovens, 60” cooking range with eight burners and griddle, 36” induction cooktop, and accessory cooking suite: steamer, fryer, and teppanyaki, plus dual dishwashers.
In addition to the living room and kitchen, The Penthouse includes over 6,000 square feet of completely customizable space, which can accommodate layouts ranging from one to seven bedrooms. As one of the premier residences in the city, this superlative space offers nearly limitless possibilities to create a perfectly tailored residence. The entire home features full electrical infrastructure to support custom lighting, chandelier-style fixtures, home automation, and an internal elevator.
One Hundred Barclay offers residents over 40,000 square feet of amenities, the most robust package in Tribeca, complete with two swimming pools, a playroom, fitness center with steam room and sauna, media lounge, music practice rooms, Landmarked Art Deco lobby with lounge and bar, wine storage and tasting room, bicycle and private storage, along with four sprawling terraces for entertaining."
53 West 53rd Street,Midtown West,"$46,395,000 ",Condo,4,4.5,7.5,"6,786","Enjoy panoramic Central Park, Hudson River, East River and downtown skyline views through floor-to-ceiling windows in this full-floor residence located in the new Jean Nouvel-designed tower rising above The Museum of Modern Art. Nouvel’s innovative exposed structural system, known as the diagrid, is expressed like a graceful, abstract piece of sculpture creating a one-of-a-kind residence unlike any other in the world. Within this 6,786 SF (630.5 SM) 4-bedroom home accessed by direct elevator entry, one finds a gracious entry hall, massively scaled living room, a palatial master suite, gym or additional dressing room, three generous secondary bedrooms, separate laundry room and service entrance. With interiors by Thierry Despont, Residence 63 also boasts an eat-in, park-facing kitchen with custom cabinetry by Molteni; statuary marble countertops and backlit backsplash; and complete suite of appliances by Miele and Sub-Zero. The corner master bedroom suite includes an extremely spacious master bath that features heated Verona limestone slab floors and baseboard, Noir St. Laurent marble and Peruvian golden travertine feature walls. A short walk to Fifth Avenue and mere blocks from Central Park, 53W53 is a collection of 145 unique residences with super-luxury, hotel-like services and amenities. Occupancy early 2019."
1908 Park Avenue,East Harlem,"$40,000,000 ",Commercial,,,,"21,183","East Harlem Development Opportunity. Corner Site Totaling ~ 86,930 BSF
1908-1914 Park Avenue, a 99’ X 106’ corner lot currently configured as a 21,183 SF garage on a 10,658 SF lot. The property can be provided vacant. This property is uniquely positioned to take advantage of the East Harlem rezoning passed in 2017 that has already seen significant projects like Blumenfeld Development Group and Architect Bjarke Ingels 233 rental units break ground on 126th Street. The property is located in the rapidly growing East Harlem corridor on the southwest corner of 130th Street and Park Avenue. The property is Located 7 blocks from Whole Foods, and a short distance from Starbucks, Chase Bank, Duane Reade, and Red Rooster. The location is within 6 blocks from the 4,5,6 trains. The M1-6 R9 & R7B zoning designation allows for a total of 77,138 buildable SF as of right, or a maximum potential of 86,930 BSF through the Inclusionary Housing Bonus Program. The new potential building can take advantage of an estimated 10,658 SF of corner commercial space with ~100 ft of frontage on Park Avenue.
East Harlem’s cornucopia of food, culture and lively street life reflects its history. From the exclusive Rao’s Restaurant, founded in 1896, and Patsy’s Pizzeria, established in 1933 in part of Old Little Italy, to modern-day bodegas, shopping and dining in this neighborhood continue to evolve. On the artsy side of East Harlem, provocative murals by celebrated artist James De La Vega — some commissioned, some not — dot the neighborhood and the living legacy of Salsa greats continues at venues such as Creole, a jazz/supper club, and Orbit, a bar/restaurant that hosts open mic nights in its jazz and cabaret schedule. Additional hotspots include Red Rooster-the famed restaurant by Andrew Chapman and Marcus Samuelsson serving world renowned cuisine and live music, Syliva’s- dubbed the “queen of soul food”, founded in 1962 serves authentic soul food and its ever popular brunch, and Corner Social- offering American cuisine, delicious cocktails, and an array of craft beers. East Harlem residents also enjoy the shopping at East River Plaza on 116th Street off the FDR Drive. If you want to stock your home and wardrobe, there are big box retailers such as Target, Old Navy, and Manhattan’s first Costco. A Metro-North Railroad Station at 125th Street with a 4-5-6 Lexington Avenue subway stop and easy access to the FDR Drive make commutes to both Long Island and Westchester a possibility."
20 East End Avenue,Upper East Side,"$39,500,000 ",Condo,5,5.5,11,"6,050","The stately 20 East End, designed by the world-renowned Robert A.M. Stern, seamlessly blends old world elegance with top of the line modern amenities at one of Manhattan’s most prestigious addresses. 20 East End Avenue evokes a time when the Astors, Vanderbilts and Rockefellers dominated Manhattan and defined a level of luxury unparalled until now.
The pinnacle of 20 East End is Penthouse A, a grand five bedroom, five and a half bathroom full floor simplex residence. With direct dual elevator access opening onto an elegant gallery, a private library, family room, formal dining room and living room, this awe-inspiring home is ideal for entertaining and impressing with over 10,000 square feet of combined indoor and outdoor space. The exclusive rooftop terrace from a bygone era is accessible through an elevator or private stair and includes a wood burning fireplace made of Indiana limestone. Offering unparalleled 360 degree views of Manhattan and the East River, the terrace was designed to support a swimming pool and outdoor kitchen. Additional details include custom lighting and a solid Indiana limestone balustrade and details.
Penthouse A showcases timeless elegance in its exquisite floor plan. Spanning approximately 6,050 interior square feet with 4,542 exterior square feet, this palatial residence features up to 12-foot ceiling heights, three interior wood burning fireplaces, one outdoor wood burning fireplace, expansive sound attenuated casement windows, custom moldings and trim, and solid Appalachian oak herringbone flooring of the finest of quality. The corner living room enjoys a stately wood burning fireplace with long, unobstructed panoramic views to both the north and east with immediate access to the south facing adjacent terrace.
The grand formal dining room with a wood burning fireplace can easily accommodate a 16 person dining table and is supported by a complete butler’s pantry. There are sparkling views of the city skyline to the south and west and access to two separate terraces.
The open chef's kitchen with center island boasts custom shaker inspired millwork cabinetry designed by Robert A.M. Stern, spectacular Calacatta Monarch countertops and backsplash, Waterworks fittings made in France and the complete Gaggenau 400 Series appliance collection including two dishwashers, two warming drawers, two ovens (one convection oven and one combination convection speed oven with microwave), a full height wine refrigerator with dual temperature zones, a Japanese Teppanyaki flat top grill, a five burner cooktop, vented hood and a fully automatic coffee machine built into the kitchen cabinetry.
This marvelous property also boasts built-in audio visual, window treatments and lighting controls from wall mounted Control4 panels as well as thermostats in every room, and a programmable and WiFi enabled radiant floor heating system in the master and secondary bathrooms.
The stunning master bedroom suite comes equipped with a morning kitchen for convenient access to that first cup of coffee in the morning or a glass of champagne in the evening. The master bedroom features a wood burning fireplace and south and east views, connected to an adjoining dressing room. The master bathroom, flanked by two large walk in closets, is clad in white Caldia Classico marble from Tuscany and extends East through a pair of double doors to a romantic terrace with river views and a hand carved balustrade made of solid Indiana limestone.
This spectacular residence offers a rare opportunity to live in the finest full floor penthouse on the Upper East Side.
**Immediate Closings**"
11 East 82nd Street,Upper East Side,"$39,000,000 ",Townhouse,9,8.5,,"12,729","This exquisite 25 foot wide mansion, prominently located on one of the most prestigious tree-lined blocks on the Upper East Side, is just off 5th Avenue and the Metropolitan Museum of Art.
Walk through the stately front doors of 11 East 82nd Street, and instantly step into the grandeur of an iconic mansion. The monumental structure stands in singular magnificence and represents a rare treasure of Manhattan’s golden age. For those desiring generously proportioned and meticulously designed entertaining and living spaces, an opportunity awaits at 11 East 82nd Street.

Commissioned in 1895 by Daniel Hennessy, the home was designed by renowned architect Henry Andersen, as a private residence for Ellen Prentice Kellogg. The limestone, yellow brick and terra-cotta façade is a beautiful example of Neo-Classical design. Complementing the impressive exterior is an impeccable interior with perfectly appointed details and a sweeping balustrade.

Under the orchestration of world-renowned architect Stephen Wang, the dwelling recently underwent a meticulous renovation. It features original period details from the turn of the century, seamlessly
coexisting with modern conveniences including an elevator, central air conditioning, a sprinkler system, modern
double pane windows with motorized window treatments, a Creston smart home audio visual and WIFI system, a wine cellar, a modern kitchen, a gym and a security system. This sun filled 12,729 square foot residence boasts grand scaled rooms perfect for entertaining, with soaring ceilings, five working fireplaces and outdoor terraces on four floors."
7 SUTTON SQUARE,Sutton Area,"$35,900,000 ",Townhouse,5,10.5,17,"9,600","Pass through the stately front doors and into the unparalleled grandeur that is 7 Sutton Square. This extraordinary residence stands in singular magnificence and represents a rare treasure in Manhattan - a 33 foot wide home in a private gated community, with off-street private parking spaces and keys to a verdant private garden overlooking East River vistas. For those desiring the most palatial of mansions, an opportunity awaits.
The mansion offers the ultimate in discretion and luxurious living for the well-heeled mogul. The highest caliber of finishes and appointments await behind the refined, Georgian-style façade. The mansion presents all the luxuries of modern, full-service living, in the most gracious of traditional style.
In 2008, the residence underwent a meticulous full renovation. Elegant period details were restored and replicated by master artisans, while modern day conveniences were seamlessly installed. The classic residential design features double-height entry foyer, filigreed spiraling staircase culminating in an exquisite glass rotunda, parquet de Versailles wood floors and oak paneling defining the timeless collaboration of past and present.
7 Sutton Square is a grand and iconic residence for the new gilded age.
Additional features of this building include: roof garden &small greenhouse."
38-40 East 75th Street,Upper East Side,"$33,800,000 ",Townhouse,,,,"14,500","Rarely do two contiguous buildings on an absolutely gorgeous block come to market at the same time. Originally built in the early 1880’s by the same architect, Thom & Wilson-who built houses 38--44 East 75th Street--38 East 75th Street and 40 East 75th Street are 20’ and 18’ wide respectively, which can be combined to create a property with 38’ of frontage in what is considered “gold coast territory” of the Upper East Side. The elevation for the floor levels of both 38 and 40 East 75th Street align correctly on the ground floor and vary only slightly above. Both sit on lots that have a depth of 102’.17”. #38 East 75th is 5 stories, and #40 East 75th Street is 6 stories, and has an elevator. BOTH BUILDINGS CAN BE DELIVERED VACANT, and would be an ideal candidate for conversion into a grand residence, school, or non-profit organization. The facade rendering shown reflects changes already effected to 40 East 75th Street, and goes back to what the original facade looked like for 38 East 75th Street. Initial inquiries made by the owners indicate that the façade plan shown would go through city agencies without a full board review.
Configurations:
Currently each building is configured into 9 individual rental units of varying size. THE BUILDINGS CAN BE SOLD SEPARATELY. See individual building information
#38 has eight studio apartments which are currently rented furnished by the month for between $3100-3200- one with a very large terrace on the 3rd floor rear apartment, plus a dramatic 4 bedroom triplex with a double height LR and a glass wall to a rear patio. It takes up the entire ground floor plus the rear third of the second and third floors. This apartment represents about 1/3rd of the current building size and has its own interior staircase.
#40 has seven studio apartments, two 1 bedroom apartments, and one 2 bedroom penthouse duplex. There are NO controls in either building and no long leases."
15 Hudson Yards,Chelsea/Hudson Yards,"$32,000,000 ",Condo,4,6.5,7,"5,161","DOUBLE HEIGHT PENTHOUSE ON THE 88TH FLOOR OF FIFTEEN HUDSON YARDS!
Perched nearly 900 feet in the sky, this unrivaled duplex penthouse wraps the southwest corner with a stunning arc of floor-to-ceiling glass spanning 126 linear feet (38m) and offering an uninterrupted 270-degree panoramic views of the Hudson River, New York Harbor, Statue of Liberty and the Manhattan skyline from the Freedom Tower to Madison Square Park.
Over 5,000 square feet (478 sq. m.), this trophy penthouse has a dramatic Great Room featuring double-height ceilings soaring 26 feet high (7.9m), a fireplace, dining room and separate library/office. A custom Bulthaup kitchen with Miele appliances opens onto a large family room, with the ability to create a staff bedroom if desired.
Ascending upon a gorgeous glass staircase with handsome oak treads, a sitting/media room with wet bar overlooks the Great Room and leads to three bedroom suites including a spacious master suite with beautiful sunset and river views, double dressing rooms and dual master baths (one of which has south facing windows). A private elevator, two utility rooms, service entrance, and total of 6 1/2 baths make this a unique opportunity to live at the top of Hudson Yards.
Designed by Diller Scofidio + Renfro in collaboration with Rockwell Group, Fifteen Hudson Yards offers residents over 40,000 square feet of amenities on three floors. Floor 50 has been devoted to a full range of fitness and wellness opportunities, including an aquatics center with a 75-foot long three-lane swimming pool, a 3,500 square foot fitness center designed by The Wright Fit, private yoga studio, stretching and group fitness classes, private spa suites with treatment rooms, and a beauty bar for hair and makeup services. Floor 51 features two corner private dining suites including wine storage and tasting rooms, lounge with breathtaking Hudson River views, club room with billiards tables, card tables and large-screen TV, a screening room, business center, golf club lounge, and an atelier with communal working table and lounge seating. A 24-hour attended lobby, doorman and concierge provide residents with an unparalleled suite of services.
Best of all the Hudson Yards neighborhood is at your door! Fifteen Hudson Yards occupies a prime position on the Public Square and Gardens at the center of Hudson Yards, directly on the High Line and adjacent to The Shed, the forthcoming center for artistic invention. Here, residents will take advantage of the unique lifestyle that Hudson Yards will offer - integrating the finest shopping, dining, arts, culture, fitness and innovation with the highest standards of residential design, services and construction. All just moments from West Chelsea's unique offering of art galleries, museums, restaurants, schools and the spectacular Hudson River Park. We invite you to take a virtual reality tour of this residence here: Explore15HY.com"
