203-209 North 11th Street,Williamsburg,"$18,000,000 ",Commercial,,3,3,"10,000","Where X Marks the Spot in Williamsburg Northside Prime! The Forray Team brings you 203-209 N 11th Street, a monstrous opportunity to purchase a 100x100, with a max FAR of 3.6 boasting approximately 36,000 SQFT of total Buildable SQFT with M1-2/R6A/MX-8 Zoning.
This Northside/Parkside Development site is perfectly perched on North 11th Street between Driggs Avenue and Roebling Street. The possibilities are endless such as a hotel-condo-mixed use project-mini mall combination project in tandem with adjoining property/parcel 232-236 N 12th Street as both properties offer a once in a lifetime opportunity for development in P-R-I-M-E Time Williamsburg Right on McCarren Park with endless views and approximately 60,000 SF of total Buildable. The Property 203-209 itself sits on an enormous 100 X 100 lot.
There are countless New Developments rising on a daily basis on every side and in every direction. The property's central location just several blocks from the Bedford L Subway Station, Greenpoint and the Rapidly Emerging Williamsburg Waterfront. It just does not get any better....being surrounded by some of the densest, most expensive commercial, residential real estate in the country and housing limitless expendable income. It is proximate to highly acclaimed venues and destinations such as The Wythe Hotel, The William Vale, Brooklyn Bowl, McCarren Hotel and McCarren Park & Pool (just to mention a few). Feel confident knowing that there are at least a handful of grand hotels still under-construction several blocks away with national retailers such as Apple, Citibank, Starbucks, and Whole Foods signing long-term leases in Williamsburg."
8121 Shore Road,Bay Ridge,"$15,000,000 ",House,7,7.5,24,"10,010","A Phenomenal-Once in a Lifetime Opportunity to own Brooklyn’s Rarest Treasure – a Stunning Artfully-Designed, Meticulously-Maintained residence in desirable Bay Ridge that is unparalleled in its caliber and level of comfort. Set on approximately half an acre, surrounded by a stone wall and thoughtful in every detail, this one-of-a-kind gem! It has been the Generational home of an Exquisite family, since 1957, with no expense spared to create a dream paradise in New York City.
Elegant, expansive living quarters are complemented by generously-sized outdoor spaces that offer a full bar, comfortable sitting and dining areas, lush landscaped lawn, and a sparkling swimming pool; all designed for lavish entertaining and ultra-luxurious living. The private driveway leads to a 2-car parking garage to accommodate your vehicles. A covered side entryway welcomes your arrival. The interior is beyond description; elaborate, magazine worthy and truly unique. Every wall throughout is handmade, complemented by hand-stitched cloth, materials from Egypt & India, handmade olive branch moldings, custom Walnut wood doors & moldings, built-ins, stained glass, and hand-painted ceilings by Gianni de Pasquale.
The main floor is a sight to behold and made for entertaining, graced by bookmarking stone flooring with tile-to-tile matching, wood-burning onyx fireplaces, and a powder room outfitted in Honey onyx marble. A gracious foyer spills into a formal gallery, grand living room and huge sun-filled solarium. A formal dining room connects via a butler’s pantry to the top-of-the-line chef’s kitchen with a lovely breakfast room leading outside. A library and garden solarium complete this spectacular level.
The second floor exudes comfort and sophistication with 4 massive bedrooms and white marble bookmarked flooring throughout. The master bedroom retreat features a pink marble fireplace, walk-in dressing room with custom wooden cabinets and a wraparound terrace. Indulge in the fabulous marble-clad spa bath with a Jacuzzi, steam shower and sauna.
Marble stairs ascend to the top story, surrounded by windows with views of the Verrazano Bridge, housing 3/4 bedrooms with a kitchenette, full bath and 2 sky-lit sitting rooms.
The lower level is a haven for any mood with a custom-built wine room, home gym, indoor waterfall outfitted in stone, big family room/den, wet bar, recreation room, kitchen, casual dining room, gold onyx marble bathroom, laundry & mechanical rooms.
Enjoy an incomparable lifestyle in one of Brooklyn’s most prized and storied properties!
Additional features of this property include: 24 Hour Video Security."
532 Clinton Avenue,Clinton Hill,"$9,760,000 ",Townhouse,6,4.5,,"3,754","532 Clinton Avenue is a development site in the heart of Clinton Hill.
56.5' wide X 120' deep lot, with a combination of R6A, R7A & C2-4 zoning.
This site is is delivered along with approved plans for an approx. 24,400 Sq Ft building, consisting of 8 floors with 16 large units plus parking.
Approved plans available upon request."
143 Willow Street,Brooklyn Heights,"$9,750,000 ",Townhouse,8,4.5,14,,"143 Willow Street, on one of Brooklyn Heights’ premier blocks, is a stately 25 foot wide, 5 story home with grand entertaining spaces, seven bedrooms and an elegant library, four and a half bathrooms, a lovely brick walled back garden and two terraces. Currently used as a two-family home, there is a spacious garden level two bedroom apartment that can easily be incorporated into a massive single family layout. The structure and mechanical systems of this home have been meticulously maintained, including a zoned central air conditioning system.
The 50 foot deep parlor floor -- with its 13 foot ceilings, wood burning fireplace, and absolutely stunning herringbone patterned floors – is the perfect setting for incredibly grand scale entertaining or comfortable and cozy family get-togethers. The spacious galley kitchen is adjacent to a large extension and can easily be expanded into a massive open kitchen with a generous eating area, work spaces and storage. French doors lead out to a terrace overlooking the lovely garden with its original brick walls and arches.
On the third floor there is a gorgeous library overlooking Willow Street with a wood burning fireplace flanked by built in bookcases. This room is adjacent to a large bedroom and bathroom with access out to another terrace overlooking the garden. Two large bedrooms, a full bathroom and a smaller office/nursery are on the fourth floor. The fifth floor is an amazing finished attic space that’s been divided into three bedrooms, full bath, and an open play area under the beamed attic ceiling. Laundry is found on the garden floor – and there are plenty of options for installing a laundry room on any of the upper floors. A full height cellar houses mechanicals and tons of storage space.
A house as large and well maintained as 143 Willow Street presents a rare opportunity for a new owner to finally be able to design their dream kitchen and bathrooms, and put their personal design stamp on a Brooklyn Heights classic."
1101-110 Fulton Street,Clinton Hill,"$7,920,000 ",Townhouse,14,8,29,,"DEAL FELL THROUGH & BACK ON THE MARKET ...LOOKING FOR THE RIGHT JV PARTNER
This three parcel corner property on the borderline of Clinton Hill & Bedford Stuyvesant is back on the market and the owner is looking to do a joint venture with the right development team. Owner is a long standing and well respected member of Community Boards 3 & 8 as a human rights advocate, community organizer and community housing development. This is the partner you want on your team when its time to get things done.
Nestled between hip Franklin Ave and cool Classon Ave, this is an incredible opportunity for a savvy investor/developer on the rapidly developing Fulton Street corridor.
With R7D, C2-4 zoning code this mixed use property has 80 feet of retail frontage on Fulton Street and wraps around the corner with 108 feet of retail frontage on Claver Place and offers a wide range of possibilities for commercial use and condominium conversion. With 4.2 FAR this irregular shaped lot has ~25,000 BSF and offers the possibility for expansion. Zoning Analysis estimates 30,000BSF utilizing community and housing variances.
This is a rare opportunity to purchase a vacant building of this size and in this location for $380 per foot. One block from the A/C/S trains at Franklin Ave, 5 min to Downtown Brooklyn / Barclays / BAM Arts campus, and just 15-20 min to Manhattan. The property offers wonderful upside and is ready for renovation.
Parcel 1 = 1101 Fulton St Block: 1994 , Lot: 48
Parcel 2 = 1103 Fulton St Block: 1994, Lot 47
Parcel 3 = 1105 – 1107 Fulton St, Block 1994, Lor 45
All offers should include:
Financials outlining all assets and liabilities, Provide proof of funds, Any Contingencies, Time frame for closing, Complete Attorney information, Past deal history
*Buyer is expected to complete their own due diligence.**"
76 Pierrepont Street,Brooklyn Heights,"$6,950,000 ",Townhouse,8,9,16,"6,500","Rarely does such a show-stopping property come on the market in Brooklyn Heights. At 29’ wide and 60’ deep, 76 Pierrepont Street is a superb example of the Gothic Revival architecture of the mid-to-late 1800’s. Commissioned in 1857 by shipping merchant Henry B. Cromwell, this home has been thoughtfully preserved and painstakingly maintained by the same family since the 1960’s. It now awaits a new owner to transport it into the next century. Enjoy the convenience and quiet elegance of New York’s oldest landmarked neighborhood just one subway stop to Manhattan and surrounded on all sides by world-class dining, schools, shops, parks and amenities.
Rich with amazing light and historic details including bay windows, a striking brick and brownstone facade, mansard roof, oversized windows, a dramatic parlor floor, dazzling marble mantles, original shutters, and an ornate sweeping staircase. Private outdoor sanctuaries abound and include an extra-large and perfectly manicured garden and three terraces off the back of the building.
Currently configured as a 5-family home with a fantastic rent roll (250K/year as-is), this home has great potential for many uses. Use as-is for investment purposes only, or move in yourself and keep some rentals for investment income, or take over the entire property for use as a one-family home with enough space to easily add an elevator without compromising your living space. The massive dimensions of this home offer a blank canvas to create a one-family home of unprecendented scale and dimension.
Do not miss this truly special opportunity to own one of the Grand Dame’s of Brooklyn Heights on majestic and tree-lined Pierrepont Street, a block from every amenity on Montague Street, every subway line, the world-famous Promenade, Brooklyn Bridge Park, and a host of public and private schools within a few blocks. This wonderful home will be delivered vacant. Showings by appointment only during weekdays. No weekend showings at this time."
130 Furman Street,Brooklyn Heights,"$6,250,000 ",Condo,5,4,10,"4,731","IMMEDIATE OCCUPANCY! This Massive Sunny 5 Bedroom, 4 Bath Home has incredible Views of the Harbor, Lady liberty and the City. Live in the center of Brooklyn’s world-class waterfront park with unrivaled views and the finest luxury living and recreational amenities right outside your doorstep. Corcoran has partnered with Toll Brothers City Living to sell the remaining units at Pierhouse, a mix of 1 to 5 bedroom duplex homes, all with private outdoor spaces, iconic and protected views, expansive living spaces, and luxurious finishes sustainably designed by Marvel Architects. Comprised of two buildings and a total of 106 units, the project is now over 90% sold out. Only the finest materials have been used throughout and feature solid custom walnut cabinetry, Gaggenau appliances, thick Calacatta Tucci marble slab counters & islands, reclaimed heartwood pine floors, and energy-efficient solar shades in every room. Spa bathrooms feature Waterworks fixtures, Ruscello Fosso Picollo marble floors, and walnut and brushed nickel vanities. These homes are ready to be moved into, and ready to amaze you and your guests alike. You will have a front row seat to the sunsets every evening, and 24-hour access to running and bike paths, dog parks, cultural events, a marina, a farmer’s market, and world-renowned restaurants, shopping and art galleries right outside your door. Residents will have access to countless amenities, including two 24-hour attended lobbies, valet parking, two fitness centers, a meditation studio, a resident event space, pet-wash, refrigerated storage, play room, and bike storage. Electric car charging station is available in the Pierhouse garage for residents’ use. In addition, residents can also utilize the amenities of the adjoining 1 Hotel Brooklyn Bridge, which includes a farm-to-table restaurant, a world class spa, and a rooftop pool and bar. Private rooftops and terraces have been designed and maintained by Michael Van Valkenburgh Associates, freeing up residents to just relax & enjoy the views and amenities of Brooklyn’s most exciting waterfront location. Commuting to Wall Street and Midtown is easy via multiple subway lines, or the East River Ferry."
130 Furman Street,Brooklyn Heights,"$5,750,000 ",Condo,3,3.5,6,"4,163","For Immediate Occupancy! This incredible 3 Bedroom, 3 Bathroom Home has direct views of the Park & The City. Live in the center of Brooklyn’s world-class waterfront park with unrivaled views and the finest luxury living and recreational amenities right outside your doorstep. Corcoran has partnered with Toll Brothers City Living to sell the remaining units at Pierhouse, a mix of 1 to 5 bedroom duplex homes, all with private outdoor spaces, iconic and protected views, expansive living spaces, and luxurious finishes designed by Marvel Architects. Comprised of two buildings and a total of 106 homes, the project is now 90% sold out. Only the finest materials have been used throughout and feature solid custom walnut cabinetry, Gaggenau appliances, thick Calacatta Tucci marble slab counters and islands, reclaimed heartwood pine floors, and energy-efficient solar shades in every room. Spa-like bathrooms feature Waterworks fixtures, Ruscello Fosso Picollo marble floors, and walnut and brushed nickel vanities. Private rooftops and terraces are designed and maintained by Michael Van Valkenburgh Associates, freeing up residents to just relax and enjoy the views and amenities of Brooklyn’s most exciting waterfront location. These homes are ready to be moved into, and ready to amaze you and your guests alike. You will have a front row seat to the sunsets every evening, and 24-hour access to running and bike paths, dog parks, cultural events, a marina, a farmer’s market, and world-renowned restaurants, shopping and art galleries right outside your door. Residents have access to countless amenities, including two 24-hour attended lobbies, valet parking, two fitness centers, a meditation studio, a resident event space, pet-wash, refrigerated storage, play room, and bike storage. Electric car charging stations are available in the Pierhouse garage for residents’ use. In addition to the condominium amenities, residents can also utilize the amenities of the adjoining 1 Hotel Brooklyn Bridge, which includes a farm-to-table restaurant, a world class spa, and a rooftop pool and bar. Commuting to Wall Street and Midtown is easy via multiple subway lines, or the East River Ferry."
672 Saint Marks Avenue,Crown Heights,"$5,300,000 ",Townhouse,7,7,25,"7,500","Introducing 672 St. Marks, An Architectural Masterpiece!!! This Turn of the Century Pre War Mansion an absolute standalone Gem. The Amazing 27' Wide Renaissance Revival Home is built with a classic facade rich in ornamental details, Roman Brick and Limestone. Once a Mansion owned by a Brooklyn Sugar Baron, the property is currently a Fully Renovated x5 Unit Residence including a Massive, One of a Kind +/- 3,200 SF Owner’s Duplex with 1,600 SF rear yard. The Duplex Residence offers enormous living and dining areas, 4 full bathrooms, library, grand foyer, 3 spacious bedrooms and the ultimate chef’s kitchen....truly a must see. The top two floors consists of x2 large 2 bedroom (convertible 3) apartments and x2 1 bedroom (convertible 2) apartments.
The massive 7,500 SF Building sits on a 27' x 140.5' lot offering nothing less than a grand experience. Each floor is approximately 1,788 SF with plenty of details still intact. Features include soaring ceiling heights, over sized windows and 3 exposures providing an excellent sense of light & air. The ornate details include moldings, a grand entry way & staircase, fireplaces, hardwood flooring, plaster work, tile work & woodwork are all in great condition.
***Full Unit breakdown and details provided in the Sales Memorandum. Due to recent rezoning, there is an estimated additional +/- 2,690 SF of FAR. The opportunity allows any buyer to prosper in this Palatial Property…Serious Inquiries only. Seller Financing Option is Available!"
169 Hicks Street,Brooklyn Heights,"$5,300,000 ",Townhouse,6,4,13,"4,320","DOUBLE DUPLEX. Resting squarely within the Brooklyn Heights Historic District, 169 Hicks Street is a 25 ft wide, 4 story, two family double duplex brick, and brownstone home. Located a couple blocks from the Promenade, Brooklyn Bridge Park, and Montague Street, this townhouse has been well maintained in keeping its old-world details. Move right in and collect rental income, or renovate and configure to a grand single-family home with the option of using over 4000 sqft of usable FAR.

Entering up the stoop and into the vestibule, the house is smartly divided with two entry doors leading to its respective duplexes. The door to the left leads to the parlor floor and the lower duplex- featuring breathtaking ceiling heights of approximately 13+ feet, a wood burning fireplace in the front parlor, a well–scaled dining room, an eat-in kitchen with adjoining walk-through pantry, and a powder room. The deck off the kitchen leads down to the garden for al-fresco dining. The garden level has two king-sized bedrooms both with ensuite bathrooms, and one has a full-width dressing room and garden access.
The upper duplex has an updated open kitchen with subway tile backsplash, a garden facing dining room, a huge, east facing living room with decorative fireplace, floor to ceiling built-in bookshelves, a powder room, and two home offices. The top floor offers 3 bedrooms including one with a walk-in dressing room (convertible to a 4th bedroom). A shared hall bath and a large oculus skylight round out this floor.

169 Hicks Street is located in a neighborhood rich with history. Block after block of stately brick and brownstone houses look much as the community did at the start of the Civil War, with ample amenities and transportation and recreation options nearby."
